date,time,weekday,club,occupancy_percent
2026-08-17,23:00,Mon,Raudondvaris,26
2026-08-17,23:02,Mon,Raudondvaris,26
2026-08-17,23:12,Mon,Raudondvaris,25
2026-08-17,23:22,Mon,Raudondvaris,24
2026-08-17,23:32,Mon,Raudondvaris,20
2026-08-17,23:43,Mon,Raudondvaris,18
2026-08-17,23:48,Mon,Raudondvaris,18
2026-08-17,23:53,Mon,Raudondvaris,17
2026-08-17,23:55,Mon,Raudondvaris,16
2026-08-18,00:03,Tue,Raudondvaris,15
2026-08-18,00:13,Tue,Raudondvaris,14
2026-08-18,00:38,Tue,Raudondvaris,14
2026-08-18,00:48,Tue,Raudondvaris,10
2026-08-18,00:54,Tue,Raudondvaris,10
2026-08-18,00:57,Tue,Raudondvaris,10
2026-08-18,00:59,Tue,Raudondvaris,10
2026-08-18,01:09,Tue,Raudondvaris,7
2026-08-18,01:19,Tue,Raudondvaris,6
2026-08-18,01:29,Tue,Raudondvaris,6
